Faction,Title,Subtitle,Fighting,Power,Body,Requires,Provides,Text,Tag,Artist,Set,Rarity
Hand,Police Negotiator,Orange Peacekeeper,1,,,{han}1,{han},"When a player plays a card that provides a faction resource that is not already in his or her resource pool, turn this card :: Gain 1 Power, or 2 Power if that player now has 3 or more different faction resources in his or her resource pool.",,Widodo Pangarso,Knight's Passage,Fixed
Hand,Grandfather Leung,Orange Mystic,4,,,{han}{han}3,{han},"Unique. When this card enters play, draw up to X cards. X = the number of {han} resources in your resource pool.","Consulting I Ching is like visiting a wise, old friend.",Carlos Cara Alvarez,Knight's Passage,Fixed
Hand,Rosalee Leung,Orange Kung Fu Warrior,6,,,{han}{han}4,{han},"Unique. +1 Fighting for each State you control. When you play a State, draw a card.","Some thought she took the mantra "from diversity comes strength" too far, but look at the results.",Ikaan Studios,Knight's Passage,Fixed
Hand,Urban Monk,Red Gardener,4,,,{han}3,{han},"If you have played a Site this turn when this card enters play, this card gains Superleap and Mobility until it leaves play. If you control 3 or more Power-generating Sites, this card generates 1 Power during your Establishing Shot.",,Diego Candia,Knight's Passage,Fixed
Hand,Rice Paddies,Site,,0,6,{han}{han}0,{han},"While you control 3 or more Power-generating Sites, this card generates 1 Power during your Establishing Shot.",Rice is the foundation of the Chinese economy.,Amanda Lore,Knight's Passage,Fixed
Hand,Fallen Mentor,Event,,,,{han}{han}0,,"Play when a Unique Character you control is smoked by an opponent. Put X "Martial Artist" Character tokens into play. They have a printed Fighting of 2, Superleap, and a printed cost of {han}2. X = half the cost of the smoked Character, rounded down.",,Jason Ballard,Knight's Passage,Fixed
Jammers,Knightcaps,Fanatic Techie Punks,1,,,1,{jam}{tec},Cannot be declared as the only attacker. +1 combat damage to Sites.,"They're like the Kiss Army or Juggalos, but with more C4.",Erick Rabang,Knight's Passage,Fixed
Jammers,Scrounger,Junkyard Hero,1,,,{jam}{jam}1,{jam}{tec},"When this card enters play, randomly choose from your smoked pile one State that can legally be played on it. Play it on this card at no cost. Reload: {tec}{tec}1.",,Tregis,Knight's Passage,Fixed
Jammers,Ape Crusaders,Masked Vigilantes,4,,,{jam}3,{jam}{tec},"When a Character you control with a printed cost of 3 or less takes damage from a 1-cost card, reduce that damage to 0.","""How do you guys expect to beat us?""",Michelle Alane LaPlante,Knight's Passage,Fixed
Jammers,Jennifer,Enigmatic Fanatic,5,,,{jam}{jam}{tec}{tec}5,{jam}{tec},"Unstoppable. +3 Fighting while you control only Sites you own. When this card reduces a Site's Body to 0, gain 1 Power and this card gains +1 Fighting until it leaves play.",,Lorraine Schleter,Knight's Passage,Fixed
Jammers,Collateral Damage,Explosive Edge,,,,{jam}1,,"Once per turn, when a Character you control smokes a Character with a higher printed Fighting, gain 1 Power and inflict 2 non-combat damage on the front-row Site at that location.",,Wes Jones,Knight's Passage,Fixed
Jammers,Secret Passageway,State,,,,{jam}{jam}1,,Limited. Play on a Site. Characters you control inflict +2 combat damage on subject. Sacrifice this card and target a Character attacking subject :: Target gains Stealth until the end of the turn.,"""This way - I know a shortcut!""",Jereme Peabody,Knight's Passage,Fixed
Jammers,Electro-Glider,Heavily-Armed State,,,,{jam}3,,Vehicle. Play on a Character. Subject gains Mobility and +4 Fighting. Subject may attack back-row Sites.,The recoil keeps it airborne.,Tregis,Knight's Passage,Fixed
Chi,Bending the Path,Event,,,,{chi}{chi}0,,Target an attacker and an interceptor before they enter combat with each other :: Inflict X non-combat damage on the attacker and the interceptor ceases intercepting. X = whichever is lower: the interceptor's Fighting or the amount of damage required to reduce the attacker's Fighting to 1.,,Angelmarthy Studio,Knight's Passage,Fixed
Magic,Blast Aura,Spell State,,,,{mag}{mag}1,,Schtick. Not Cumulative. Play on a Character. Subject gains +1 Fighting and +1 combat damage. Turn subject and target a Character at this location :: Inflict 2 non-combat damage on target.,"""No, Mr. North, I expect you to die.""",Jason Ballard,Knight's Passage,Fixed
High Tech,"""We Can Rebuild Him""",Event,,,,{tec}{tec}{tec}2,,"Play during your Main Shot. Choose a Character in any smoked pile :: Return that Character to play under your control, and it gains the designator Cyborg.","Bigger, stronger, faster. Punchier.",Windodo Pangarso,Knight's Passage,Fixed
Neutral,Shared Interests,Edge,,,,1,,"Limited. You must have at least 2 different faction resources in your resource pool to play this card. When this card enters play, choose a designator. Turn :: Play a card with the chosen designator at -1 cost or ignoring one resource condition.",,ClickArt Studios,Knight's Passage,Fixed
Neutral,The Hidden Grotto,Feng Shui Site,,1,4,,,"Unique. When this card is revealed, you may play a Character at -X cost. X = the number of Feng Shui Sites you control, including this one.",Some things weren't meant to be found.,Angelmarthy Studio,Knight's Passage,Fixed
Neutral,Underground Depot,Feng Shui Site,,1,7,,,All Characters at this location gain Mobility. Turn during your main shot :: Play a Vehicle or Weapon State on a card at this location at -1 cost.,Garages don't usually have such great Feng Shui.,Tregis,Knight's Passage,Fixed
Neutral,The Dragon's Teeth,Feng Shui Site,,1,7,,,"Unique. Turn and target a Character :: Until the end of the turn, target gains Unstoppable, and when target inflicts combat damage, draw a card.",Its unique Feng Shui focuses your strength.,Diego Candia,Knight's Passage,Fixed
Neutral,Secluded Redoubt,Feng Shui Site,,1,9,,,Damage inflicted on this card by cards you own is reduced to 0. Damage cannot be redirected to this card.,Its facade makes the ancient fortification untenable.,Diego Candia,Knight's Passage,Fixed
